bp 1:	 1.000e+00	 1.000e+00	 1.000e+00	 1.000e+00	 1.000e+00	 3.750e+00	 3.750e+00	 3.750e+00	 3.750e+00	 3.750e+00	 6.500e+00	 6.500e+00	 6.500e+00	 6.500e+00	 6.500e+00	 9.250e+00	 9.250e+00	 9.250e+00	 9.250e+00	 9.250e+00	 1.200e+01	 1.200e+01	 1.200e+01	 1.200e+01	 1.200e+01
bp 2:	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02
9	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04	  8.84744110e-04
10	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03	  1.02564460e-03
11	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03	  1.17924221e-03
12	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03	  1.34811392e-03
13	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03	  1.53528454e-03
14	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03	  1.74431422e-03
15	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03	  1.97939813e-03
16	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03	  2.24547944e-03
17	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03	  2.54837612e-03
18	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03	  2.89492181e-03
